Academic Year,TAP Sector Group,Scholarship Name,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2016,8-OTHER,NYS Scholarships for Academic Excellence,1,1.00,1500.00
2016,6-BUS. DEGREE,NYS Scholarships for Academic Excellence,70,66.08,44541.68
2016,5-INDEPENDENT,NYS Scholarships for Academic Excellence,6759,6451.83,4820917.23
2016,4-SUNY CC,NYS Scholarships for Academic Excellence,449,377.00,278000.00
2016,3-SUNY SO,NYS Scholarships for Academic Excellence,4763,4464.75,3203125.00
2016,2-CUNY CC,NYS Scholarships for Academic Excellence,172,126.50,98250.00
2016,1-CUNY SR,NYS Scholarships for Academic Excellence,2346,2066.00,1473250.00
2016,4-SUNY CC,"NYS Science, Technology, Engineering and Mathematics Incentive Program",40,34.50,130635.00
2016,3-SUNY SO,"NYS Science, Technology, Engineering and Mathematics Incentive Program",1647,1579.50,9346324.10
2016,2-CUNY CC,"NYS Science, Technology, Engineering and Mathematics Incentive Program",3,2.50,9373.50
2016,1-CUNY SR,"NYS Science, Technology, Engineering and Mathematics Incentive Program",112,102.50,551978.00
2016,8-OTHER,NYS World Trade Center Memorial Scholarship,1,1.00,15125.00
2016,6-BUS. DEGREE,NYS World Trade Center Memorial Scholarship,11,9.00,166085.01
2016,5-INDEPENDENT,NYS World Trade Center Memorial Scholarship,398,376.00,7153383.79
2016,4-SUNY CC,NYS World Trade Center Memorial Scholarship,82,69.00,835069.50
2016,3-SUNY SO,NYS World Trade Center Memorial Scholarship,291,266.50,5324544.78
2016,2-CUNY CC,NYS World Trade Center Memorial Scholarship,9,7.50,83660.45
2016,1-CUNY SR,NYS World Trade Center Memorial Scholarship,60,51.00,806488.35
2016,5-INDEPENDENT,Senator Patricia K. McGee Nursing Faculty Scholarship,80,44.04,1244912.56
2016,3-SUNY SO,Senator Patricia K. McGee Nursing Faculty Scholarship,30,17.75,492132.73
2016,1-CUNY SR,Senator Patricia K. McGee Nursing Faculty Scholarship,13,7.00,215695.31
2016,VOCATIONAL - VET SCHOOLS ONLY,Veterans Tuition Awards,51,26.00,158002.85
2016,8-OTHER,Veterans Tuition Awards,1,1.00,4058.00
2016,6-BUS. DEGREE,Veterans Tuition Awards,69,55.92,309000.02
2016,5-INDEPENDENT,Veterans Tuition Awards,226,171.04,1031884.22
2016,4-SUNY CC,Veterans Tuition Awards,250,171.42,596529.03
2016,3-SUNY SO,Veterans Tuition Awards,283,194.83,1026162.71
2016,2-CUNY CC,Veterans Tuition Awards,25,16.42,61751.25
2016,1-CUNY SR,Veterans Tuition Awards,93,55.38,253859.56
2015,5-INDEPENDENT,Flight 3407 Memorial Scholarship,3,3.00,51725.00
2015,3-SUNY SO,Flight 3407 Memorial Scholarship,2,1.50,33673.00
2015,4-SUNY CC,Flight 587 Memorial Scholarship,2,1.50,19135.00
